	0	1	2	3	4
299	0.5	0.06	0.1	0.18	0.16
300	0.5	0.06	0.1	0.16	0.18
301	0.5	0.06	0.1	0.14	0.2
302	0.5	0.06	0.08	0.26	0.1
303	0.5	0.06	0.08	0.24	0.12
304	0.5	0.06	0.08	0.22	0.14
305	0.5	0.06	0.08	0.2	0.16
306	0.5	0.06	0.08	0.18	0.18
307	0.5	0.06	0.08	0.16	0.2
308	0.5	0.06	0.06	0.28	0.1
309	0.5	0.06	0.06	0.26	0.12
310	0.5	0.06	0.06	0.24	0.14
311	0.5	0.06	0.06	0.22	0.16
312	0.5	0.06	0.06	0.2	0.18
313	0.5	0.06	0.06	0.18	0.2
314	0.5	0.06	0.04	0.3	0.1
315	0.5	0.06	0.04	0.28	0.12
316	0.5	0.06	0.04	0.26	0.14
317	0.5	0.06	0.04	0.24	0.16
318	0.5	0.06	0.04	0.22	0.18
319	0.5	0.06	0.04	0.2	0.2
320	0.5	0.06	0.02	0.32	0.1
321	0.5	0.06	0.02	0.3	0.12
322	0.5	0.06	0.02	0.28	0.14
323	0.5	0.06	0.02	0.26	0.16
324	0.5	0.06	0.02	0.24	0.18
325	0.5	0.06	0.02	0.22	0.2
326	0.5	0.06	0.0	0.34	0.1
327	0.5	0.06	0.0	0.32	0.12
328	0.5	0.06	0.0	0.3	0.14
329	0.5	0.06	0.0	0.28	0.16
330	0.5	0.06	0.0	0.26	0.18
331	0.5	0.06	0.0	0.24	0.2
332	0.5	0.04	0.2	0.16	0.1
333	0.5	0.04	0.2	0.14	0.12
334	0.5	0.04	0.2	0.12	0.14
335	0.5	0.04	0.2	0.1	0.16
336	0.5	0.04	0.18	0.18	0.1
337	0.5	0.04	0.18	0.16	0.12
338	0.5	0.04	0.18	0.14	0.14
339	0.5	0.04	0.18	0.12	0.16
340	0.5	0.04	0.18	0.1	0.18
341	0.5	0.04	0.16	0.2	0.1
342	0.5	0.04	0.16	0.18	0.12
343	0.5	0.04	0.16	0.16	0.14
344	0.5	0.04	0.16	0.14	0.16
345	0.5	0.04	0.16	0.12	0.18
346	0.5	0.04	0.16	0.1	0.2
347	0.5	0.04	0.14	0.22	0.1
348	0.5	0.04	0.14	0.2	0.12
349	0.5	0.04	0.14	0.18	0.14
350	0.5	0.04	0.14	0.16	0.16
351	0.5	0.04	0.14	0.14	0.18
352	0.5	0.04	0.14	0.12	0.2
353	0.5	0.04	0.12	0.24	0.1
354	0.5	0.04	0.12	0.22	0.12
355	0.5	0.04	0.12	0.2	0.14
356	0.5	0.04	0.12	0.18	0.16
357	0.5	0.04	0.12	0.16	0.18
358	0.5	0.04	0.12	0.14	0.2
359	0.5	0.04	0.1	0.26	0.1
360	0.5	0.04	0.1	0.24	0.12
361	0.5	0.04	0.1	0.22	0.14
362	0.5	0.04	0.1	0.2	0.16
363	0.5	0.04	0.1	0.18	0.18
364	0.5	0.04	0.1	0.16	0.2
365	0.5	0.04	0.08	0.28	0.1
366	0.5	0.04	0.08	0.26	0.12
367	0.5	0.04	0.08	0.24	0.14
368	0.5	0.04	0.08	0.22	0.16
369	0.5	0.04	0.08	0.2	0.18
370	0.5	0.04	0.08	0.18	0.2
371	0.5	0.04	0.06	0.3	0.1
372	0.5	0.04	0.06	0.28	0.12
373	0.5	0.04	0.06	0.26	0.14
374	0.5	0.04	0.06	0.24	0.16
375	0.5	0.04	0.06	0.22	0.18
376	0.5	0.04	0.06	0.2	0.2
377	0.5	0.04	0.04	0.32	0.1
378	0.5	0.04	0.04	0.3	0.12
379	0.5	0.04	0.04	0.28	0.14
380	0.5	0.04	0.04	0.26	0.16
381	0.5	0.04	0.04	0.24	0.18
382	0.5	0.04	0.04	0.22	0.2
383	0.5	0.04	0.02	0.34	0.1
384	0.5	0.04	0.02	0.32	0.12
385	0.5	0.04	0.02	0.3	0.14
386	0.5	0.04	0.02	0.28	0.16
387	0.5	0.04	0.02	0.26	0.18
388	0.5	0.04	0.02	0.24	0.2
389	0.5	0.04	0.0	0.36	0.1
390	0.5	0.04	0.0	0.34	0.12
391	0.5	0.04	0.0	0.32	0.14
392	0.5	0.04	0.0	0.3	0.16
393	0.5	0.04	0.0	0.28	0.18
394	0.5	0.04	0.0	0.26	0.2
395	0.5	0.02	0.2	0.18	0.1
396	0.5	0.02	0.2	0.16	0.12
397	0.5	0.02	0.2	0.14	0.14
398	0.5	0.02	0.2	0.12	0.16
399	0.5	0.02	0.2	0.1	0.18
400	0.5	0.02	0.18	0.2	0.1
401	0.5	0.02	0.18	0.18	0.12
402	0.5	0.02	0.18	0.16	0.14
403	0.5	0.02	0.18	0.14	0.16
404	0.5	0.02	0.18	0.12	0.18
405	0.5	0.02	0.18	0.1	0.2
406	0.5	0.02	0.16	0.22	0.1
407	0.5	0.02	0.16	0.2	0.12
